,pregunta,skill,level,claridad,signature
1948,Humans use both renewable and nonrenewable resources. Which option seems to be human activity uses a nonrenewable resource (A) building houses with wood (B) using natural gas to heat homes (C) using solar energy to power lights (D) producing electricity from flowing water ?,otro,ELEMENTARY,0.75,science
388,"In this situation: At the back of the zoo is a mountain where the birds can roam free in a natural habitat.. With 6, 3, what should be calculated?",multiplication,ELEMENTARY,0.50,mathematics
21089,"There is a problem about cross, section, cannel, trapezium, shape; 12, 5, 344; not sure which part is needed, find the answer.",otro,OTRO,0.25,physics
263,"Based on the story, Using the information given, if the volume of two cubes are in the ratio 27 8, the ratio of their edges is",geometry,ELEMENTARY,0.75,mathematics
1075,"Rosa and Ted ate granola bars before competing in a swimming competition. Less than 50% of the chemical energy in the granola bars was converted to mechanical energy during the swim competition. If all the energy in the granola bars was used,. There are numbers like 50. Use them and decide the answer, but the exact operation is not clearly stated.",otro,MIDDLE,0.50,science
1259,"Using 7, 2, 4 and the thing about ryan, spends, hours, learning, english, choose or calculate the answer.",challenge,ELEMENTARY,0.25,mathematics
23894,"kim can do a work in 3 days while david can do the same work in 2 days . both of them finish the work together and get rs . 150 . what is, more or less, the share of kim ?",otro,OTRO,0.75,physics
14971,"it takes printer a 4 more minutes more than printer b to print 40 pages . working together , the two. Then answer it somehow from the given data.",otro,OTRO,0.50,physics
2237,"company, invited, sixty-eight, people, luncheon. Numbers: sixty, eight, fifty, three. What is it?",division,ELEMENTARY,0.25,mathematics
11528,Read this situation and answer: a train 275 m long is running with a speed of 60 km / hr . in what time will it pass a man who is running at 6 km / hr in the direction opposite to that in which option seems to be the train is going ?,otro,OTRO,0.75,physics
10279,"About train, speeds, past, pole, seconds: a train speeds past a pole in 15 seconds and a platform 100 m long in 25 seconds . its length is :. Find the result from the information, although some parts are not explicit.",otro,OTRO,0.50,physics
722,"Calculate the highest common divisor of 342 and 18. ... with 342, 18. The question is missing some details, answer it.",gcd,ELEMENTARY,0.25,mathematics
27012,"Using the information given, 3 men and 8 women complete a task in same time as 6 men and 2 women do . how much fraction of work will be finished in same time if 4 men and 5 women will do that task . ?",otro,OTRO,0.75,physics
19476,"In this situation: a certain number of workers can do a work in 35 days .. With 35, 10, what should be calculated?",otro,OTRO,0.50,physics
27347,"There is a problem about pairs, shoes, pair, different, color; 6, 2, 12; not sure which part is needed, find the answer.",otro,OTRO,0.25,probability
4981,"Based on the story, Using the information given, the sum of two consecutive numbers is 37 . what are they ?",otro,OTRO,0.75,physics
26430,"jamal had a bag of marbles . he had 12 yellow , 10 blue , 5 green and 1 black marbles . he decided to. There are numbers like 12, 10, 5, 1. Use them and decide the answer, but the exact operation is not clearly stated.",otro,OTRO,0.50,physics
217,"Using 8, 10, 4 and the thing about adam, action, figures, cabinets, shelf, choose or calculate the answer.",multiplication,ELEMENTARY,0.25,mathematics
17861,"Using the information given, a train is 360 meter long is running at a speed of 90 km / hour . in what time will it pass a bridge of 140 meter length ?",otro,OTRO,0.75,physics
5891,"a 1 k . m . long wire is held by n poles . if one pole is removed , the length of the gap becomes 12 / 3 m . what is the number of poles initially ?. Then answer it somehow from the given data.",otro,OTRO,0.50,physics
12645,"calculate, time, saved, train, usual. Numbers: 3 / 4, 10. What is it?",otro,OTRO,0.25,physics
