habilidad,prompt
addition,"Write a single moderate question about adding two quantities for a young math learner in the context of a music class, using one missing addend. Make all needed information explicit. Return only the question in plain text, with no answer or explanation."
addition,"Generate a single easy question about adding two quantities for a primary school student in the context of a music class, using one missing addend. Make the situation realistic. Output only the question in text form, without hints or an answer."
addition,"Make one slightly challenging question about adding two quantities for an upper elementary student in the context of a pet shelter, with simple regrouping. Avoid unnecessary details. Output only the question in text form, without hints or an answer."
addition,"Generate a single simple short sum problem for a young math learner in the context of a book fair, using numbers up to 100. Make the situation realistic. Give only the question as plain text. Do not include the solution."
addition,"Create one moderate addition question with three addends for a primary school student in the context of a farm, using one missing addend. Make the situation realistic. Use plain text only and provide no solution or explanation."
addition,"Make one easy addition word problem for a young math learner in the context of a school cafeteria, using numbers up to 100. Use one direct question at the end. Use plain text only and provide no solution or explanation."
addition,"Write a single slightly challenging question about adding two quantities for an upper elementary student in the context of a bus trip, using numbers up to 20. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation."
addition,"Make a single simple short sum problem for a primary school student in the context of a pet shelter, using one missing addend. Use familiar vocabulary. Use plain text only and provide no solution or explanation."
addition,"Write one easy addition word problem for a young math learner in the context of a fruit shop, with simple regrouping. Keep the question concise. Return only the question in plain text, with no answer or explanation."
addition,"Create one moderate question about adding two quantities for a primary school student in the context of a music class, using two-digit numbers. Keep the question concise. Use plain text only and provide no solution or explanation."
addition,"Prepare one slightly challenging question about adding two quantities for a young math learner in the context of a book fair, with no regrouping. Use one direct question at the end. Output only the question in text form, without hints or an answer."
addition,"Prepare one moderate addition word problem for an upper elementary student in the context of a birthday party, using numbers up to 100. Make the situation realistic. Output only the question in text form, without hints or an answer."
addition,"Generate a single slightly challenging question that requires finding a total for a student learning basic mathematics in the context of a garden, with simple regrouping. Make all needed information explicit. Give only the question as plain text. Do not include the solution."
addition,"Make one slightly challenging short sum problem for an upper elementary student in the context of a toy store, using three small whole numbers. Avoid unnecessary details. Give only the question as plain text. Do not include the solution."
addition,"Write a single slightly challenging short sum problem for a young math learner in the context of a playground, using one missing addend. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution."
addition,"Generate one basic addition word problem for an upper elementary student in the context of a science fair, using three small whole numbers. Use one direct question at the end. Return one question only, written as plain text."
addition,"Generate a single basic addition word problem for an upper elementary student in the context of a family picnic, using numbers up to 50. Use whole numbers only. Return only the question in plain text, with no answer or explanation."
addition,"Create a single easy addition question with three addends for an upper elementary student in the context of a birthday party, using two-digit numbers. Use whole numbers only. Use plain text only and provide no solution or explanation."
addition,"Generate one slightly challenging question about adding two quantities for an upper elementary student in the context of a bus trip, using numbers up to 100. Keep the question concise. Use plain text only and provide no solution or explanation."
addition,"Make a single simple question about adding two quantities for an upper elementary student in the context of a community park, using numbers up to 20. Make all needed information explicit. Output only the question in text form, without hints or an answer."
addition,"Make a single moderate question about adding two quantities for an upper elementary student in the context of a school cafeteria, using three small whole numbers. Use whole numbers only. Return one question only, written as plain text."
addition,"Make a single moderate question that requires finding a total for an upper elementary student in the context of a music class, using two-digit numbers. Use familiar vocabulary. Output only the question in text form, without hints or an answer."
addition,"Prepare a single slightly challenging addition question with three addends for a student learning basic mathematics in the context of a bakery, using two-digit numbers. Use one direct question at the end. Output only the question in text form, without hints or an answer."
addition,"Prepare a single basic short sum problem for a primary school student in the context of a book fair, using one missing addend. Use familiar vocabulary. Use plain text only and provide no solution or explanation."
addition,"Write a single moderate addition word problem for a student learning basic mathematics in the context of a sports day, using numbers up to 50. Use whole numbers only. Return only the question in plain text, with no answer or explanation."
addition,"Write a single basic addition word problem for an elementary student in the context of a toy store, using two-digit numbers. Avoid unnecessary details. Use plain text only and provide no solution or explanation."
addition,"Make a single easy question about adding two quantities for a primary school student in the context of a music class, using three small whole numbers. Make all needed information explicit. Return only the question in plain text, with no answer or explanation."
addition,"Generate one simple question about adding two quantities for a young math learner in the context of a music class, using one missing addend. Avoid unnecessary details. Output only the question in text form, without hints or an answer."
addition,"Write one simple short sum problem for a primary school student in the context of a fruit shop, with no regrouping. Make the situation realistic. Use plain text only and provide no solution or explanation."
