prompt,response_1,calificacion_response_1,response_2,calificacion_response_2,response_3,calificacion_response_3,response_4,calificacion_response_4
"Write one simple geometry question about shape properties for a primary school student in the context of a classroom, without using a diagram. Make the situation realistic. Return one question only, written as plain text.","system
What is the perimeter of a rectangle that has a length of 10 cm and a width of 5 cm?",1,"system
What is the perimeter of a rectangle with length 10 cm and width 5 cm?",2,"system
What is the perimeter of a rectangle that has a length of 10 cm and a width of 5 cm?",3,"system
A rectangular prism has dimensions 5 cm x 3 cm x 2 cm. What is its volume?",4
"Write one moderate simple ratio question for a primary school student learning advanced topics in the context of a family picnic, using an equivalent-ratio situation described with words. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","system
At the family picnic, there were 4 sandwiches and 6 juice boxes. If this ratio is maintained, how many juice boxes would be needed if there were 12 sandwiches?",2,"system
At the family picnic, there were 4 sandwiches and 6 juice boxes. If we want to maintain the same ratio of sandwiches to juice boxes, how many more juice boxes should be added if we add 2 sandwiches?",1,"system
At the family picnic, there were 4 sandwiches and 6 cookies. If we want to make sure that each person gets the same amount of food, how many sandwiches should be made if we also want to have 12 cookies?",3,"system
At the family picnic, there were 4 sandwiches and 6 cookies. If the number of sandwiches is to be increased by 2 while keeping the total food items constant, how many more cookies should be added?",4
"Make a single slightly challenging question comparing two groups with a ratio for a primary school student learning advanced topics in the context of a pet shelter, without fractions or decimals. Keep the question concise. Give only the question as plain text. Do not include the solution.","system
Which group has more pets: Group A with 15 dogs and 20 cats, or Group B with 10 dogs and 30 cats?",1,"system
Which group has more pets: Group A with 15 dogs and 20 cats, or Group B with 10 dogs and 30 cats?",2,"system
Which group has more pets: Group A with 12 dogs and 8 cats, or Group B with 6 dogs and 10 cats?",3,"system
Which group has more pets: Group A with 15 dogs and 20 cats, or Group B with 10 dogs and 30 cats?",4
"Prepare one basic question about the greatest common divisor for an upper elementary student in the context of a fruit shop, using numbers below 30. Use familiar vocabulary. Return one question only, written as plain text.","system
What is the greatest common divisor (GCD) of 24 and 18?",1,"system
What is the greatest common divisor (GCD) of 24 and 18?",2,"system
What is the greatest common divisor (GCD) of 24 and 18?",3,"system
What is the greatest common divisor (GCD) of 24 and 18?",4
"Write one basic division word problem for an elementary student in the context of a school cafeteria, using a dividend below 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text.","system
A school cafeteria has 36 apples to be divided equally among 4 tables. How many apples will each table get?",1,"system
At the school cafeteria, there are 45 apples available to be shared equally among 9 students. How many apples does each student get?",3,"system
At the school cafeteria, there are 45 apples available to be divided equally among 9 students. How many apples does each student get?",2,"system
A school cafeteria has 36 apples to be shared equally among 9 students. How many apples does each student get?",4
"Prepare one slightly challenging question about the greatest common factor for a young learner ready for a challenge in the context of a classroom, with a GCD greater than one. Make the situation realistic. Output only the question in text form, without hints or an answer.","system
What is the greatest common factor of 24 and 36?",2,"system
What is the greatest common factor (GCF) of 24 and 36, which could be used to simplify fractions like \(\frac{24}{36}\)?",4,"system
What is the greatest common factor (GCF) of 18 and 24, which could be used to simplify fractions like 18/24?",3,"system
What is the greatest common factor (GCF) of 24 and 36?",1
"Create one moderate question about making equal groups for an upper elementary student in the context of a beach visit, using numbers below 50. Keep the question concise. Output only the question in text form, without hints or an answer.","system
How many different ways can you make groups with exactly 4 toys each from a total of 28 toys at the beach?",1,"system
How many different ways can you divide 45 sandcastles into equal groups if each group must have more than 1 but fewer than 20 castles?",3,"system
How many different ways can you divide 36 sandcastles among 4 friends equally?",4,"system
How many different ways can you make groups with exactly 7 items from a total of 49 items at the beach?",2
"Write a single simple geometry question about shape properties for an elementary student in the context of a bus trip, without using a diagram. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
What is the name of the flat surface on a bus that passengers sit on?",3,"system
What is the name of the flat surface that makes up the sides of a rectangle?",1,"system
What is the name of a flat surface that has length but not width?",4,"system
What is the name of the shape that has four sides with two pairs of parallel lines?",2
"Make a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, using numbers up to 50. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
At the beach, Sarah found 23 seashells and lost 17 during her walk. How many seashells does she have left?",1,"system
At the beach, there were initially 23 seashells collected. After finding more, they added 17 to their collection. Then, they gave away 9 seashells as souvenirs. How many seashells do they have now?",2,"system
At the beach, there were initially 23 seashells. After finding more, they had 47 seashells. How many did they find?",3,"system
At the beach, there were initially 23 seashells. After collecting more, they had 47 seashells. How many did they collect?",4
"Prepare one simple question about taking away for an elementary student in the context of a garden, using numbers up to 50. Use one direct question at the end. Return one question only, written as plain text.","system
How many flowers did you pick from the garden today?",1,"system
How many flowers did you pick from the garden today?",2,"system
How many flowers did you pick from the garden today?",3,"system
How many flowers did you pick from the garden today?",4
"Create one slightly challenging missing-number equation for a primary school student learning advanced topics in the context of a birthday party, using multiplication. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","system
What is 3 times the number of cupcakes given to each child if there were 5 children at the party?",1,"system
What is 5 times the number that is 3 less than 10?",2,"system
What is 5 times 6?",3,"system
What is 5 times 6?",4
"Make a single easy addition question with three addends for a primary school student in the context of a toy store, using numbers up to 20. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","system
What is the total cost if you buy 5 toy cars priced at $3 each and 4 toy dolls priced at $2 each?",4,"system
What is the total number of toys if there are 5 teddy bears, 7 dolls, and 3 cars?",2,"system
What is the total number of toys if you buy 15 teddy bears, 8 dolls, and 7 blocks?",1,"system
What is the total number of toys if there are 5 teddy bears, 7 dolls, and 3 cars?",3
"Create one slightly challenging question about the greatest common factor for an upper elementary student in the context of a music class, using numbers below 30. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation.","system
What is the greatest common factor of 18 and 24 that you can use to divide both numbers equally among three groups?",3,"system
What is the greatest common factor of the notes C, D, E, and F?",2,"system
What is the greatest common factor of 24 and 36 that could be used to divide both numbers evenly in a musical rhythm pattern?",4,"system
What is the greatest common factor of the beat lengths of two songs: 12 beats per measure and 18 beats per measure?",1
"Make one easy logic-based elementary math question for a young learner ready for a challenge in the context of a pet shelter, combining addition and multiplication. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","system
At the animal shelter, there are 4 puppies and 3 kittens available for adoption. If each puppy is adopted at $50 and each kitten is adopted at $25, how much money will be raised if all pets are adopted?",4,"system
At the animal shelter, there are 5 puppies waiting to be adopted. If each puppy needs 3 hours of care per day, how many total hours will all the puppies need together over 2 days?",3,"system
At the animal shelter, there are 3 groups of cats: Group A has 4 cats, Group B has 5 cats, and Group C has 6 cats. If each cat from Group A is adopted, how many cats will be left in total?",1,"system
At the animal shelter, there are 3 cages arranged in a row. Each cage can hold 4 dogs. If 2 more dogs join the shelter, how many dogs will be in total?",2
"Create one easy question with more than one useful piece of information for a young learner ready for a challenge in the context of a fruit shop, without requiring a drawing. Keep the question concise. Return only the question in plain text, with no answer or explanation.","system
What two types of fruits can you find at most varieties in a typical fruit shop?",1,"system
What color is the apple and what kind of fruit is it?",2,"system
What color is an apple and what type of fruit is it?",3,"system
What color is an apple and what does it taste like?",4
"Create one moderate question that uses addition followed by subtraction for an upper elementary student in the context of a beach visit, using numbers up to 50. Keep the question concise. Return one question only, written as plain text.","user
What is the total number of shells you collected if you found 23 starfish and then lost 17 shells while packing them?",1,"user
At the beach, Sarah collected 24 seashells and 17 starfish. How many items did she collect total?",2,"system
At the beach, Sarah found 23 seashells and 17 starfish. How many items did she find total? Then, if she gave away 8 items, how many does she have left?",3,"system
At the beach, Sarah found 23 seashells and 17 starfish. How many items did she find total? Then, if she gave away 8 items, how many does she have left?",4
"Make one easy question about reading a written clock time for a primary school student in the context of a pet shelter, using whole hours. Keep the question concise. Return one question only, written as plain text.","system
What is 3:00 PM on a written clock?",1,"system
What is 3:00 PM on a written clock?",2,"system
What is 3:00 PM on a written clock?",3,"system
What is 3:00 PM on a written clock?",4
"Make a single simple two-step addition and subtraction word problem for a student learning basic mathematics in the context of a beach visit, with exactly two operations. Keep the question concise. Give only the question as plain text. Do not include the solution.","system
At the beach, there were 15 seashells on the first day. On the second day, someone found 7 more seashells. How many seashells are there now?",1,"system
At the beach, there were 15 seashells on the first day. On the second day, 7 more seashells were found. How many seashells are there now?",2,"system
At the beach, Sarah collected 15 seashells on Monday and 20 more on Tuesday. How many seashells did she collect in total?",3,"system
At the beach, there were 15 seashells on the first day. On the second day, 7 more seashells were found. How many seashells are there now?",4
