,prompt,chosen,rejected
2,"Write one simple geometry question about shape properties for a primary school student in the context of a classroom, without using a diagram. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the name of the shape that has four right angles and four sides of equal length?","assistant

What is the name of the shape with four right angles and four sides of equal length?"
4,"Write one simple geometry question about shape properties for a primary school student in the context of a classroom, without using a diagram. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the name of the shape that has four right angles and four sides of equal length?","assistant

What is the name of the shape with four right angles and four sides of equal length?"
5,"Write one simple geometry question about shape properties for a primary school student in the context of a classroom, without using a diagram. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the name of the shape that has four right angles and four sides of equal length?","assistant

What is the name of the shape with four right angles and four sides of equal length?"
6,"Write one moderate simple ratio question for a primary school student learning advanced topics in the context of a family picnic, using an equivalent-ratio situation described with words. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the ratio of the number of sandwiches to the number of fruit in the picnic basket if 5 sandwiches and 8 pieces of fruit are placed in the basket?","assistant

What is the ratio of the number of sandwiches to the number of drinks at the picnic, if 3 sandwiches were eaten and 2 drinks were consumed?"
7,"Write one moderate simple ratio question for a primary school student learning advanced topics in the context of a family picnic, using an equivalent-ratio situation described with words. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the ratio of the number of sandwiches to the number of fruit in the picnic basket if 5 sandwiches and 8 pieces of fruit are placed in the basket?","assistant

What is the ratio of the number of sandwiches to the number of cookies at the picnic, if 3 sandwiches were eaten and 5 cookies were eaten?"
8,"Write one moderate simple ratio question for a primary school student learning advanced topics in the context of a family picnic, using an equivalent-ratio situation described with words. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the ratio of the number of sandwiches to the number of fruit in the picnic basket if 5 sandwiches and 8 pieces of fruit are placed in the basket?","assistant

What is the ratio of the number of sandwiches to the number of fruit in the fruit salad if 3/4 of the sandwiches are eaten and 3/5 of the fruit is eaten?"
9,"Write one moderate simple ratio question for a primary school student learning advanced topics in the context of a family picnic, using an equivalent-ratio situation described with words. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the ratio of the number of sandwiches to the number of drinks at the picnic, if 3 sandwiches were eaten and 2 drinks were consumed?","assistant

What is the ratio of the number of sandwiches to the number of cookies at the picnic, if 3 sandwiches were eaten and 5 cookies were eaten?"
10,"Write one moderate simple ratio question for a primary school student learning advanced topics in the context of a family picnic, using an equivalent-ratio situation described with words. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the ratio of the number of sandwiches to the number of drinks at the picnic, if 3 sandwiches were eaten and 2 drinks were consumed?","assistant

What is the ratio of the number of sandwiches to the number of fruit in the fruit salad if 3/4 of the sandwiches are eaten and 3/5 of the fruit is eaten?"
11,"Write one moderate simple ratio question for a primary school student learning advanced topics in the context of a family picnic, using an equivalent-ratio situation described with words. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the ratio of the number of sandwiches to the number of cookies at the picnic, if 3 sandwiches were eaten and 5 cookies were eaten?","assistant

What is the ratio of the number of sandwiches to the number of fruit in the fruit salad if 3/4 of the sandwiches are eaten and 3/5 of the fruit is eaten?"
13,"Make a single slightly challenging question comparing two groups with a ratio for a primary school student learning advanced topics in the context of a pet shelter, without fractions or decimals. Keep the question concise. Give only the question as plain text. Do not include the solution.","assistant

What is the main difference between the number of dogs and cats in the shelter that are adopted by families with children versus those that are adopted by families without children?","assistant

What is the main difference between the number of dogs and cats in the shelter that are adopted by families with young children compared to those that are adopted by families with older children?"
14,"Make a single slightly challenging question comparing two groups with a ratio for a primary school student learning advanced topics in the context of a pet shelter, without fractions or decimals. Keep the question concise. Give only the question as plain text. Do not include the solution.","assistant

What is the main difference between the number of dogs and cats in the shelter that are adopted by families with children versus those that are adopted by families without children?","assistant

What is the main difference between the number of dogs and cats that live in the shelter on a typical Monday morning compared to the number of dogs and cats that live in the shelter on a typical Tuesday morning?"
15,"Make a single slightly challenging question comparing two groups with a ratio for a primary school student learning advanced topics in the context of a pet shelter, without fractions or decimals. Keep the question concise. Give only the question as plain text. Do not include the solution.","assistant

What is the main difference between the number of dogs and cats in the shelter that are adopted by families with children versus those that are adopted by families without children?","assistant

What is the main difference between the number of dogs and cats in the shelter that are adopted by families with young children compared to those that are adopted by families with older children?"
16,"Make a single slightly challenging question comparing two groups with a ratio for a primary school student learning advanced topics in the context of a pet shelter, without fractions or decimals. Keep the question concise. Give only the question as plain text. Do not include the solution.","assistant

What is the main difference between the number of dogs and cats in the shelter that are adopted by families with children versus those that are adopted by families without children?","assistant

What is the main difference between the number of dogs and cats that live in the shelter on a typical Monday morning compared to the number of dogs and cats that live in the shelter on a typical Tuesday morning?"
17,"Make a single slightly challenging question comparing two groups with a ratio for a primary school student learning advanced topics in the context of a pet shelter, without fractions or decimals. Keep the question concise. Give only the question as plain text. Do not include the solution.","assistant

What is the main difference between the number of dogs and cats in the shelter that are adopted by families with young children compared to those that are adopted by families with older children?","assistant

What is the main difference between the number of dogs and cats that live in the shelter on a typical Monday morning compared to the number of dogs and cats that live in the shelter on a typical Tuesday morning?"
20,"Prepare one basic question about the greatest common divisor for an upper elementary student in the context of a fruit shop, using numbers below 30. Use familiar vocabulary. Return one question only, written as plain text.","assistant

What is the greatest common divisor (GCD) of 12 and 18?","assistant

What is the greatest common divisor of 12 and 18?"
22,"Prepare one basic question about the greatest common divisor for an upper elementary student in the context of a fruit shop, using numbers below 30. Use familiar vocabulary. Return one question only, written as plain text.","assistant

What is the greatest common divisor (GCD) of 12 and 18?","assistant

What is the greatest common divisor of 12 and 18?"
23,"Prepare one basic question about the greatest common divisor for an upper elementary student in the context of a fruit shop, using numbers below 30. Use familiar vocabulary. Return one question only, written as plain text.","assistant

What is the greatest common divisor (GCD) of 12 and 18?","assistant

What is the greatest common divisor of 12 and 18?"
26,"Write one basic division word problem for an elementary student in the context of a school cafeteria, using a dividend below 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text.","assistant

Here's a division word problem for an elementary student:

""Tom has 48 cookies to package for the school bake sale. If he wants to put 6 cookies in each box, how many boxes can he fill?""","assistant

Here's a division word problem for an elementary student:

""Tom has 48 cookies to package for the school bake sale. He wants to put 6 rows of cookies in each box. How many boxes can Tom fill with the cookies he has?"""
28,"Write one basic division word problem for an elementary student in the context of a school cafeteria, using a dividend below 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text.","assistant

Here's a division word problem for an elementary student:

""Tom has 48 cookies to package for the school bake sale. If he wants to put 6 cookies in each box, how many boxes can he fill?""","assistant

Here's a division word problem for an elementary student:

""Tom has 48 cookies to package for the school bake sale. He wants to put 6 rows of cookies in each box. How many boxes can Tom fill with the cookies he has?"""
29,"Write one basic division word problem for an elementary student in the context of a school cafeteria, using a dividend below 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text.","assistant

Here's a division word problem for an elementary student:

""Tom has 48 cookies to package for the school bake sale. If he wants to put 6 cookies in each box, how many boxes can he fill?""","assistant

Here's a division word problem for an elementary student:

""Tom has 48 cookies to package for the school bake sale. He wants to put 6 rows of cookies in each box. How many boxes can Tom fill with the cookies he has?"""
30,"Prepare one slightly challenging question about the greatest common factor for a young learner ready for a challenge in the context of a classroom, with a GCD greater than one. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

What is the greatest common factor of 24 and 36, given that the GCD of 24 and 36 is 12?","assistant

What is the greatest common divisor of 48 and 72, given that the greatest common divisor of 48 and 36 is 12?"
31,"Prepare one slightly challenging question about the greatest common factor for a young learner ready for a challenge in the context of a classroom, with a GCD greater than one. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

What is the greatest common factor of 24 and 36, given that the GCD of 24 and 36 is 12?","assistant

A group of students are planning a school festival and want to make a cake that can be cut into 8 equal pieces. The total number of slices they want to cut the cake into is 24. If they want to make the slices as uniform as possible, how many slices can they cut the cake into?"
32,"Prepare one slightly challenging question about the greatest common factor for a young learner ready for a challenge in the context of a classroom, with a GCD greater than one. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

What is the greatest common factor of 24 and 36, given that the GCD of 24 and 36 is 12?","assistant

A group of students are planning a school festival and need to decide on the size of the festival venue. The festival organizers want to ensure that the venue is large enough to accommodate all the students, but they also want to minimize the number of tents and stalls. The festival organizers have a limited budget, and they want to maximize the number of attendees. How can they decide on the optimal size of the festival venue?"
33,"Prepare one slightly challenging question about the greatest common factor for a young learner ready for a challenge in the context of a classroom, with a GCD greater than one. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

What is the greatest common divisor of 48 and 72, given that the greatest common divisor of 48 and 36 is 12?","assistant

A group of students are planning a school festival and want to make a cake that can be cut into 8 equal pieces. The total number of slices they want to cut the cake into is 24. If they want to make the slices as uniform as possible, how many slices can they cut the cake into?"
34,"Prepare one slightly challenging question about the greatest common factor for a young learner ready for a challenge in the context of a classroom, with a GCD greater than one. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

What is the greatest common divisor of 48 and 72, given that the greatest common divisor of 48 and 36 is 12?","assistant

A group of students are planning a school festival and need to decide on the size of the festival venue. The festival organizers want to ensure that the venue is large enough to accommodate all the students, but they also want to minimize the number of tents and stalls. The festival organizers have a limited budget, and they want to maximize the number of attendees. How can they decide on the optimal size of the festival venue?"
35,"Prepare one slightly challenging question about the greatest common factor for a young learner ready for a challenge in the context of a classroom, with a GCD greater than one. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

A group of students are planning a school festival and want to make a cake that can be cut into 8 equal pieces. The total number of slices they want to cut the cake into is 24. If they want to make the slices as uniform as possible, how many slices can they cut the cake into?","assistant

A group of students are planning a school festival and need to decide on the size of the festival venue. The festival organizers want to ensure that the venue is large enough to accommodate all the students, but they also want to minimize the number of tents and stalls. The festival organizers have a limited budget, and they want to maximize the number of attendees. How can they decide on the optimal size of the festival venue?"
36,"Create one moderate question about making equal groups for an upper elementary student in the context of a beach visit, using numbers below 50. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

What is the best way to divide a group of 25 students into equal groups for a beach trip?","assistant

How many groups of 5 can be made from 25 students for a beach trip?"
37,"Create one moderate question about making equal groups for an upper elementary student in the context of a beach visit, using numbers below 50. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

What is the best way to divide a group of 25 students into equal groups for a beach trip?","assistant

How many groups of 5 can be made from 20 students for a beach trip?"
