,prompt,response_1,response_2,response_3,response_4
0,"Write one simple geometry question about shape properties for a primary school student in the context of a classroom, without using a diagram. Make the situation realistic. Return one question only, written as plain text.","system
What is the perimeter of a rectangle that has a length of 10 cm and a width of 5 cm?","system
What is the perimeter of a rectangle with length 10 cm and width 5 cm?","system
What is the perimeter of a rectangle that has a length of 10 cm and a width of 5 cm?","system
A rectangular prism has dimensions 5 cm x 3 cm x 2 cm. What is its volume?"
1,"Write one moderate simple ratio question for a primary school student learning advanced topics in the context of a family picnic, using an equivalent-ratio situation described with words. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","system
At the family picnic, there were 4 sandwiches and 6 juice boxes. If this ratio is maintained, how many juice boxes would be needed if there were 12 sandwiches?","system
At the family picnic, there were 4 sandwiches and 6 juice boxes. If we want to maintain the same ratio of sandwiches to juice boxes, how many more juice boxes should be added if we add 2 sandwiches?","system
At the family picnic, there were 4 sandwiches and 6 cookies. If we want to make sure that each person gets the same amount of food, how many sandwiches should be made if we also want to have 12 cookies?","system
At the family picnic, there were 4 sandwiches and 6 cookies. If the number of sandwiches is to be increased by 2 while keeping the total food items constant, how many more cookies should be added?"
2,"Make a single slightly challenging question comparing two groups with a ratio for a primary school student learning advanced topics in the context of a pet shelter, without fractions or decimals. Keep the question concise. Give only the question as plain text. Do not include the solution.","system
Which group has more pets: Group A with 15 dogs and 20 cats, or Group B with 10 dogs and 30 cats?","system
Which group has more pets: Group A with 15 dogs and 20 cats, or Group B with 10 dogs and 30 cats?","system
Which group has more pets: Group A with 12 dogs and 8 cats, or Group B with 6 dogs and 10 cats?","system
Which group has more pets: Group A with 15 dogs and 20 cats, or Group B with 10 dogs and 30 cats?"
3,"Prepare one basic question about the greatest common divisor for an upper elementary student in the context of a fruit shop, using numbers below 30. Use familiar vocabulary. Return one question only, written as plain text.","system
What is the greatest common divisor (GCD) of 24 and 18?","system
What is the greatest common divisor (GCD) of 24 and 18?","system
What is the greatest common divisor (GCD) of 24 and 18?","system
What is the greatest common divisor (GCD) of 24 and 18?"
4,"Write one basic division word problem for an elementary student in the context of a school cafeteria, using a dividend below 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text.","system
A school cafeteria has 36 apples to be divided equally among 4 tables. How many apples will each table get?","system
At the school cafeteria, there are 45 apples available to be shared equally among 9 students. How many apples does each student get?","system
At the school cafeteria, there are 45 apples available to be divided equally among 9 students. How many apples does each student get?","system
A school cafeteria has 36 apples to be shared equally among 9 students. How many apples does each student get?"
5,"Prepare one slightly challenging question about the greatest common factor for a young learner ready for a challenge in the context of a classroom, with a GCD greater than one. Make the situation realistic. Output only the question in text form, without hints or an answer.","system
What is the greatest common factor of 24 and 36?","system
What is the greatest common factor (GCF) of 24 and 36, which could be used to simplify fractions like \(\frac{24}{36}\)?","system
What is the greatest common factor (GCF) of 18 and 24, which could be used to simplify fractions like 18/24?","system
What is the greatest common factor (GCF) of 24 and 36?"
6,"Create one moderate question about making equal groups for an upper elementary student in the context of a beach visit, using numbers below 50. Keep the question concise. Output only the question in text form, without hints or an answer.","system
How many different ways can you make groups with exactly 4 toys each from a total of 28 toys at the beach?","system
How many different ways can you divide 45 sandcastles into equal groups if each group must have more than 1 but fewer than 20 castles?","system
How many different ways can you divide 36 sandcastles among 4 friends equally?","system
How many different ways can you make groups with exactly 7 items from a total of 49 items at the beach?"
7,"Write a single simple geometry question about shape properties for an elementary student in the context of a bus trip, without using a diagram. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
What is the name of the flat surface on a bus that passengers sit on?","system
What is the name of the flat surface that makes up the sides of a rectangle?","system
What is the name of a flat surface that has length but not width?","system
What is the name of the shape that has four sides with two pairs of parallel lines?"
8,"Make a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, using numbers up to 50. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
At the beach, Sarah found 23 seashells and lost 17 during her walk. How many seashells does she have left?","system
At the beach, there were initially 23 seashells collected. After finding more, they added 17 to their collection. Then, they gave away 9 seashells as souvenirs. How many seashells do they have now?","system
At the beach, there were initially 23 seashells. After finding more, they had 47 seashells. How many did they find?","system
At the beach, there were initially 23 seashells. After collecting more, they had 47 seashells. How many did they collect?"
9,"Prepare one simple question about taking away for an elementary student in the context of a garden, using numbers up to 50. Use one direct question at the end. Return one question only, written as plain text.","system
How many flowers did you pick from the garden today?","system
How many flowers did you pick from the garden today?","system
How many flowers did you pick from the garden today?","system
How many flowers did you pick from the garden today?"
10,"Create one slightly challenging missing-number equation for a primary school student learning advanced topics in the context of a birthday party, using multiplication. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","system
What is 3 times the number of cupcakes given to each child if there were 5 children at the party?","system
What is 5 times the number that is 3 less than 10?","system
What is 5 times 6?","system
What is 5 times 6?"
11,"Make a single easy addition question with three addends for a primary school student in the context of a toy store, using numbers up to 20. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","system
What is the total cost if you buy 5 toy cars priced at $3 each and 4 toy dolls priced at $2 each?","system
What is the total number of toys if there are 5 teddy bears, 7 dolls, and 3 cars?","system
What is the total number of toys if you buy 15 teddy bears, 8 dolls, and 7 blocks?","system
What is the total number of toys if there are 5 teddy bears, 7 dolls, and 3 cars?"
