,prompt,response_1,response_2,response_3,response_4
0,"Write one simple geometry question about shape properties for a primary school student in the context of a classroom, without using a diagram. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the name of the shape that has four right angles and four sides of equal length?","assistant

What is the name of the shape that has four right angles and four sides of equal length?","assistant

What is the name of the shape with four right angles and four sides of equal length?","assistant

What is the name of the shape that has four right angles and four sides of equal length?"
1,"Write one moderate simple ratio question for a primary school student learning advanced topics in the context of a family picnic, using an equivalent-ratio situation described with words. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the ratio of the number of sandwiches to the number of drinks at the picnic, if 3 sandwiches were eaten and 2 drinks were consumed?","assistant

What is the ratio of the number of sandwiches to the number of fruit in the fruit salad if 3/4 of the sandwiches are eaten and 3/5 of the fruit is eaten?","assistant

What is the ratio of the number of sandwiches to the number of cookies at the picnic, if 3 sandwiches were eaten and 5 cookies were eaten?","assistant

What is the ratio of the number of sandwiches to the number of fruit in the picnic basket if 5 sandwiches and 8 pieces of fruit are placed in the basket?"
2,"Make a single slightly challenging question comparing two groups with a ratio for a primary school student learning advanced topics in the context of a pet shelter, without fractions or decimals. Keep the question concise. Give only the question as plain text. Do not include the solution.","assistant

What is the main difference between the number of dogs and cats that live in the shelter on a typical Monday morning compared to the number of dogs and cats that live in the shelter on a typical Tuesday morning?","assistant

What is the main difference between the number of dogs and cats in the shelter that are adopted by families with children versus those that are adopted by families without children?","assistant

What is the main difference between the number of dogs and cats in the shelter that are adopted by families with children versus those that are adopted by families without children?","assistant

What is the main difference between the number of dogs and cats in the shelter that are adopted by families with young children compared to those that are adopted by families with older children?"
3,"Prepare one basic question about the greatest common divisor for an upper elementary student in the context of a fruit shop, using numbers below 30. Use familiar vocabulary. Return one question only, written as plain text.","assistant

What is the greatest common divisor (GCD) of 12 and 18?","assistant

What is the greatest common divisor (GCD) of 12 and 18?","assistant

What is the greatest common divisor of 12 and 18?","assistant

What is the greatest common divisor (GCD) of 12 and 18?"
4,"Write one basic division word problem for an elementary student in the context of a school cafeteria, using a dividend below 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text.","assistant

Here's a division word problem for an elementary student:

""Tom has 48 cookies to package for the school bake sale. He wants to put 6 rows of cookies in each box. How many boxes can Tom fill with the cookies he has?""","assistant

Here's a division word problem for an elementary student:

""Tom has 48 cookies to package for the school bake sale. If he wants to put 6 cookies in each box, how many boxes can he fill?""","assistant

Here's a division word problem for an elementary student:

""Tom has 48 cookies to package for the school bake sale. If he wants to put 6 cookies in each box, how many boxes can he fill?""","assistant

Here's a division word problem for an elementary student:

""Tom has 48 cookies to package for the school bake sale. If he wants to put 6 cookies in each box, how many boxes can he fill?"""
5,"Prepare one slightly challenging question about the greatest common factor for a young learner ready for a challenge in the context of a classroom, with a GCD greater than one. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

A group of students are planning a school festival and want to make a cake that can be cut into 8 equal pieces. The total number of slices they want to cut the cake into is 24. If they want to make the slices as uniform as possible, how many slices can they cut the cake into?","assistant

What is the greatest common factor of 24 and 36, given that the GCD of 24 and 36 is 12?","assistant

A group of students are planning a school festival and need to decide on the size of the festival venue. The festival organizers want to ensure that the venue is large enough to accommodate all the students, but they also want to minimize the number of tents and stalls. The festival organizers have a limited budget, and they want to maximize the number of attendees. How can they decide on the optimal size of the festival venue?","assistant

What is the greatest common divisor of 48 and 72, given that the greatest common divisor of 48 and 36 is 12?"
6,"Create one moderate question about making equal groups for an upper elementary student in the context of a beach visit, using numbers below 50. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

How many groups of 5 can be made from 25 students for a beach trip?","assistant

What is the best way to divide the beach into equal groups for an upper elementary student to play a game?","assistant

How many groups of 5 can be made from 20 students for a beach trip?","assistant

What is the best way to divide a group of 25 students into equal groups for a beach trip?"
7,"Write a single simple geometry question about shape properties for an elementary student in the context of a bus trip, without using a diagram. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

What is the name of the shape that has four right angles and four sides of equal length?","assistant

What is the name of the shape that a bus is shaped like when it is traveling on a straight road?","assistant

What is the name of the shape that has four right angles and four sides of equal length?","assistant

What is the name of the shape that has four right angles and four sides of equal length?"
8,"Make a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, using numbers up to 50. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

Problem:
Tommy has 25 seashells in his bucket. He finds 15 more shells on the beach. How many seashells does Tommy have now?

A) 40
B) 35
C) 30
D) 45","assistant

Problem: 
Tommy has 25 seashells in his bucket. He finds 15 more shells on the beach. How many seashells does Tommy have now?

A) 30
B) 40
C) 45
D) 50","assistant

Here's a mixed-operation problem for an elementary student:

Tommy has 15 seashells in his bucket. He finds 7 more seashells on the beach. How many seashells does Tommy have now?

A) 12
B) 20
C) 22
D) 25","assistant

**Problem:**

Tommy and his friends are going to the beach. They have $15, $8, and $12 in their pockets. They want to buy a toy that costs $20. How much money will they have left after buying the toy?

**Numbers:**

* Tommy's money: $15, $8, $12
* Toy cost: $20

**Operation:** Addition and Subtraction"
9,"Prepare one simple question about taking away for an elementary student in the context of a garden, using numbers up to 50. Use one direct question at the end. Return one question only, written as plain text.","assistant

Here's a simple question about taking away for an elementary student in the context of a garden:

What is the number of flowers that can be grown in a garden if you take away 5 rows of 8 flowers each?

Answer: 40","assistant

Here's a simple question about taking away for an elementary student in the context of a garden:

What is the number of flowers that can be grown in a garden if you take away 5 rows of 10 flowers each?

Answer: 50","assistant

Here's a simple question about taking away for an elementary student in the context of a garden:

What is the number of flowers that can be grown in a garden if you take away 5 rows of flowers and 3 rows of vegetables?

A) 20
B) 25
C) 30
D) 35

Answer: B) 25","assistant

Here's a simple question about taking away for an elementary student in the context of a garden:

What is the number of flowers that can be grown in a garden if you take away 5 rows of 10 flowers each?

Answer: 50"
