education_level,skill,prompt,id_prompt
early-childhood,counting,Create a multiple-choice question with four options for children ages 4 to 5 to develop counting using a context related to playground objects. Connect the task to a realistic situation.,0
early-childhood,quantity comparison,Create a short problem for children ages 4 to 5 to develop quantity comparison using a context related to fruit. Connect the task to a realistic situation.,1
early-childhood,number recognition,Create a conceptual question for children ages 4 to 5 to develop number recognition using a context related to animals. Include the correct answer and a brief solution.,2
early-childhood,simple patterns,Create a fill-in-the-blank problem for children ages 4 to 5 to develop simple patterns using a context related to animals. Make the answer possible using text and numbers only.,3
early-childhood,sorting,Create a real-life word problem for children ages 4 to 5 to develop sorting using a context related to fruit. Include the correct answer and a brief solution.,4
early-childhood,shape recognition,Create an error-analysis question for children ages 4 to 5 to develop shape recognition using a context related to picture cards. Use clear instructions and avoid unnecessary information.,5
early-childhood,number recognition,Create a short problem for children ages 4 to 5 to develop number recognition using a context related to fruit. Use values appropriate for the educational level.,6
early-childhood,sorting,Create a multiple-choice question with four options for children ages 4 to 5 to develop sorting using a context related to picture cards. Include the correct answer and a brief solution.,7
early-childhood,number recognition,Create a question that requires showing the reasoning for children ages 4 to 5 to develop number recognition using a context related to fruit. Ask the student to justify the answer briefly.,8
early-childhood,number recognition,Create a conceptual question for children ages 4 to 5 to develop number recognition using a context related to animals. Ask the student to justify the answer briefly.,9
early-childhood,shape recognition,Create a two-step problem for children ages 4 to 5 to develop shape recognition using a context related to songs. Include one hint and the final answer.,10
early-childhood,sorting,Create a fill-in-the-blank problem for children ages 4 to 5 to develop sorting using a context related to colored blocks. Use clear instructions and avoid unnecessary information.,11
early-childhood,number recognition,Create a fill-in-the-blank problem for children ages 4 to 5 to develop number recognition using a context related to playground objects. Make the answer possible using text and numbers only.,12
early-childhood,shape recognition,Create a short problem for children ages 4 to 5 to develop shape recognition using a context related to classroom objects. Include the correct answer and a brief solution.,13
early-childhood,counting,Create an error-analysis question for children ages 4 to 5 to develop counting using a context related to fruit. Use clear instructions and avoid unnecessary information.,14
early-childhood,quantity comparison,Create a short problem for children ages 4 to 5 to develop quantity comparison using a context related to playground objects. Make the answer possible using text and numbers only.,15
early-childhood,sorting,Create a question that requires showing the reasoning for children ages 4 to 5 to develop sorting using a context related to animals. Include one hint and the final answer.,16
early-childhood,simple patterns,Create an error-analysis question for children ages 4 to 5 to develop simple patterns using a context related to toys. Include one hint and the final answer.,17
early-childhood,shape recognition,Create a fill-in-the-blank problem for children ages 4 to 5 to develop shape recognition using a context related to songs. Connect the task to a realistic situation.,18
early-childhood,quantity comparison,Create a question that requires showing the reasoning for children ages 4 to 5 to develop quantity comparison using a context related to playground objects. Ask the student to justify the answer briefly.,19
early-childhood,number recognition,Create a conceptual question for children ages 4 to 5 to develop number recognition using a context related to colored blocks. Keep the wording concise and include an answer key.,20
early-childhood,sorting,Create a short problem for children ages 4 to 5 to develop sorting using a context related to toys. Connect the task to a realistic situation.,21
early-childhood,counting,Create a question that requires showing the reasoning for children ages 4 to 5 to develop counting using a context related to animals. Use clear instructions and avoid unnecessary information.,22
