,pregunta,skill,level,claridad,signature
1948,Humans use both renewable and nonrenewable resources. Which human activity uses a nonrenewable resource? (A) building houses with wood (B) using natural gas to heat homes (C) using solar energy to power lights (D) producing electricity from flowing water,otro,ELEMENTARY,1,science
388,"At the back of the zoo is a mountain where the birds can roam free in a natural habitat. The children saw 6 types of eagles living on each section of the mountain. If the mountain has 3 sections,
how many types of eagles did the children see in total?",multiplication,ELEMENTARY,1,mathematics
21089,"the cross - section of a cannel is a trapezium in shape . if the cannel is 12 m wide at the top and 5 m wide at the bottom and the area of cross - section is 344 sq m , the depth of cannel is ?",otro,OTRO,1,physics
263,"if the volume of two cubes are in the ratio 27 : 8 , the ratio of their edges is :",geometry,ELEMENTARY,1,mathematics
1075,"Rosa and Ted ate granola bars before competing in a swimming competition. Less than 50% of the chemical energy in the granola bars was converted to mechanical energy during the swim competition. If all the energy in the granola bars was used, which most likely happened to the rest of the energy? (A) It was lost as potential energy. (B) It was lost as chemical energy. (C) It was converted to thermal energy. (D) It was converted to magnetic energy.",otro,MIDDLE,1,science
1259,"Every day Ryan spends 7 hours on learning english, 2 hours on learning chinese and 4 hours on learning spanish. How many more hours does he spend on learning english than he does on learning spanish?",challenge,ELEMENTARY,1,mathematics
23894,kim can do a work in 3 days while david can do the same work in 2 days . both of them finish the work together and get rs . 150 . what is the share of kim ?,otro,OTRO,1,physics
14971,"it takes printer a 4 more minutes more than printer b to print 40 pages . working together , the two printers can print 50 pages in 6 minutes . how long will it take printer a to print 140 pages ?",otro,OTRO,1,physics
2237,"A company invited sixty-eight people to a luncheon, but fifty of them didn't show up. If the tables they had held three people each,
how many tables do they need?",division,ELEMENTARY,1,mathematics
11528,a train 275 m long is running with a speed of 60 km / hr . in what time will it pass a man who is running at 6 km / hr in the direction opposite to that in which the train is going ?,otro,OTRO,1,physics
10279,a train speeds past a pole in 15 seconds and a platform 100 m long in 25 seconds . its length is :,otro,OTRO,1,physics
722,Calculate the highest common divisor of 342 and 18.,gcd,ELEMENTARY,1,mathematics
27012,3 men and 8 women complete a task in same time as 6 men and 2 women do . how much fraction of work will be finished in same time if 4 men and 5 women will do that task .,otro,OTRO,1,physics
19476,a certain number of workers can do a work in 35 days . if there were 10 workers more it could be finished in 10 days less . how many workers are there ?,otro,OTRO,1,physics
27347,"kim has 6 pairs of shoes ; each pair is a different color . if kim randomly selects 2 shoes without replacement from the 12 shoes , what is the probability that she will select 2 shoes of the same color ?",otro,OTRO,1,probability
4981,the sum of two consecutive numbers is 37 . what are they ?,otro,OTRO,1,physics
26430,"jamal had a bag of marbles . he had 12 yellow , 10 blue , 5 green and 1 black marbles . he decided to randomly select a ball from the bag . what is the proabilitly that he will draw a black marble ?",otro,OTRO,1,physics
217,"Adam could fit 8 action figures and 10 cabinets on each shelf in his room. His room has 4 shelves.
How many total items could his shelves hold?",multiplication,ELEMENTARY,1,mathematics
17861,a train is 360 meter long is running at a speed of 90 km / hour . in what time will it pass a bridge of 140 meter length ?,otro,OTRO,1,physics
5891,"a 1 k . m . long wire is held by n poles . if one pole is removed , the length of the gap becomes 12 / 3 m . what is the number of poles initially ?",otro,OTRO,1,physics
12645,"calculate how much time could be saved if the train would run at its usual speed , given that it ran at 3 / 4 of its own speed and got to its destination in 10 hours ?",otro,OTRO,1,physics
170,"While playing a video game , Paul scored 3103 points . He and his cousin together have a total of 5816 points . How many points does Paul 's cousin have ? ",addition-subtraction,ELEMENTARY,1,mathematics
1521,"Emma has a can of fruit cocktail in the pantry. The circular lid has a diameter of 2 inches.
What is the lid's circumference?",geometry,MIDDLE,1,mathematics
18751,"two cyclist start on a circular track from a given point but in opposite direction with speeds of 7 m / s and 8 m / s . if the circumference of the circle is 675 meters , after what time will they meet at the starting point ?",otro,OTRO,1,physics
2299,how many seconds will a 300 m long train take to cross a man walking with a speed of 3 km / hr in the direction of the moving train if the speed of the train is 63 km / hr ?,otro,OTRO,1,physics
1463,Carol was sending out birthday invitations to her friends. Each package of invitations she bought had 3 invitations in it and she bought 2 packs. If she wants to invite 9 friends How many extra invitations will she need to buy?,challenge,ELEMENTARY,1,mathematics
690,the area of a circular field is 17.56 hectares . find the cost of fencing it at the rate of rs . 5 per metre approximately,geometry,ELEMENTARY,1,mathematics
1559,"A movie theater needed four hundred twenty-six popcorn buckets. If each package has eight buckets in it,
how many packages will they need to buy?",division,ELEMENTARY,1,mathematics
23109,"a can do a piece of work in 10 days and b in 20 days . they began the work together but 5 days before the completion of the work , a leaves . the work was completed in ?",otro,OTRO,1,physics
738,"Ryan collected 89 leaves. He lost 24 leaves and threw away 43 leaves.
How many leaves did Ryan have left?",time,ELEMENTARY,1,mathematics
816,"what will be the cost of building a fence around a square plot with area equal to 49 sq ft , if the price per foot of building the fence is rs . 58 ?",geometry,ELEMENTARY,1,mathematics
24843,a certain number of men can do a work in 40 days . if there were 5 men less it could be finished in 10 days more . how many men are there ?,otro,OTRO,1,physics
1775,Jessica is making fruit punch for her friends. She pours the powder into a container with sugar and water. Which of these best describes what happens to the sugar? (A) It expands. (B) It dissolves. (C) It condenses. (D) It evaporates.,otro,ELEMENTARY,1,science
1127,Which job is done in Virginia only during the fall season? (A) Picking apples (B) Feeding animals (C) Selling clothes (D) Building houses,otro,ELEMENTARY,1,science
84,Which condition is necessary for metamorphic rocks to form? (A) constant weathering and erosion (B) extreme pressure and heating (C) rapid burial of sediments (D) slow cooling of magma,otro,MIDDLE,1,science
8889,"in an examination , a student scores 3 marks for every correct answer and loses 1 mark for every wrong answer . if he attempts all 30 questions and secures 130 marks , the no of questions he attempts correctly is :",otro,OTRO,1,physics
1489,Which of these occurs when the North Pole is tilted toward the Sun and the United States has the most daylight hours of the year? (A) summer solstice (B) winter solstice (C) spring equinox (D) fall equinox,otro,ELEMENTARY,1,science
23413,"a 600 meter long train crosses a signal post in 40 seconds . how long will it take to cross a 5.4 kilometer long bridge , at the same speed ?",otro,OTRO,1,physics
1126,After Jessie started to go jogging everyday she lost 35 kilograms. She weighed 69 kilograms before beginning jogging. How much does she weigh now?,challenge,ELEMENTARY,1,mathematics
344,"They served a total of 179 adults and 141 children, if 156 of all the people they served are male,
how many are female?",subtraction,ELEMENTARY,1,mathematics
799,"Dan has $ 2. He bought a candy bar for $ 6 and a chocolate for $ 3.
How much money did he spend to buy candy bar than he did to buy chocolate?",subtraction,ELEMENTARY,1,mathematics
2168,Water vapor sometimes condenses into stratus clouds that are in contact with the ground. What forms as a result of this process? (A) ozone (B) methane (C) fog (D) smoke,otro,MIDDLE,1,science
1736,"Emily was helping her mom pick apples from the tree in their front yard. Together they picked fourteen totals. If six of the apples weren't ripe yet,
how many good apples did they pick?",subtraction,ELEMENTARY,1,mathematics
765,A lack of control in the muscular system is most likely related to a problem in what other organ system? (A) nervous (B) immune (C) excretory (D) digestive,otro,MIDDLE,1,science
359,"Jake has 9 fewer peaches than Steven and 18 more peaches than Jill. Steven has 16 peaches.
How many more peaches does Steven have than Jill?",addition,ELEMENTARY,1,mathematics
682," Nancy was organizing her book case making sure each of the shelves had exactly 6 books on it. If she had 2 shelves of mystery books and 6 shelves of picture books, how many books did she have total? ",algebra,ELEMENTARY,1,mathematics
1631,"An island in the Indian Ocean was 4 miles wide and 7 miles long.
What is the perimeter of the island?",geometry,ELEMENTARY,1,mathematics
481,the circumferences of two circles are 132 meters and 352 meters . find the difference between the areas of the larger and the smaller circles ?,geometry,ELEMENTARY,1,mathematics
414," Bianca and her mom were picking carrots from their garden. Bianca picked 26 and her mother picked 15. If only 16 of the carrots were good, how many bad carrots did they have? ",algebra,ELEMENTARY,1,mathematics
734,"A mailman has to give 32 pieces of junk mail to each of the 55 blocks. If he gives 8 mails to each house in a block
How many houses are there in a block?",division,ELEMENTARY,1,mathematics
1115,"the size of a television screen is given as the length of the screen ' s diagonal . if the screens were flat , then the area of a square 22 - inch screen would be how many square inches greater than the area of a square 20 - inch screen ?",geometry,ELEMENTARY,1,mathematics
20818,"a tank is filled by 3 pipes a , b , c in 10 hours . pipe c is twice as fast as b and b is twice as fast as a . how much will pipe a alone take to fill the tank ?",otro,OTRO,1,physics
1473,He then went to see the oranges being harvested. He found out that they harvest 31 sacks of ripe oranges and 24 sacks of unripe oranges per day. How many sacks of unripe oranges will they have after 45 days of harvest?,challenge,ELEMENTARY,1,mathematics
655," April's discount flowers was having a sale where each flower was 6 dollars. If Katie bought 5 roses and 5 daisies, how much did she spend? ",algebra,ELEMENTARY,1,mathematics
1252,a semicircle has a radius of 14 . what is the approximate perimeter of the semicircle ?,geometry,ELEMENTARY,1,mathematics
30312,"in 140 m race , a covers the distance in 36 seconds and b in 45 seconds . in this race a beats b by :",otro,OTRO,1,physics
36001,the cost of carpeting a room 18 m long with a carpet 75 cm wide at 45 paise per meter is rs . 81 . the breadth of the room is :,otro,OTRO,1,physics
873,"A full moon occurs every 30 days. If the last full moon occurred on a Friday,
how many days will pass before a full moon occurs again on a Friday?",lcm,ELEMENTARY,1,mathematics
1485,"The cost of a private pilot course is $1,275. The flight portion costs $625 more than the ground school portion.
What is the cost of each?",algebra,MIDDLE,1,mathematics
321,-700 divided by 4,division,ELEMENTARY,1,mathematics
3402,a person crosses a 1080 m long street in 12 minutes . what is his speed in km per hour ?,otro,OTRO,1,physics
1173,All of the populations of species in an area make up a (A) region (B) niche (C) family (D) community,otro,ELEMENTARY,1,science
2363,Which of the following must all plant and animal species do in order for each species to survive? (A) migrate (B) reproduce (C) make food (D) change color,otro,ELEMENTARY,1,science
37243,a train moves past a post and a platform 264 m long in 8 seconds and 20 seconds respectively . what is the speed of the train ?,otro,OTRO,1,physics
22288,in what time will a railway train 64 m long moving at the rate of 46 kmph pass a telegraph post on its way ?,otro,OTRO,1,physics
58,"a square mirror has exactly half the area of the rectangular wall on which it is hung . if each side of the mirror is 24 inches and the width of the wall is 42 inches , what is the length of the wall , in inches ?",geometry,ELEMENTARY,1,mathematics
37251,"nd the area of trapezium whose parallel sides are 20 cm and 18 cm long , and the distance between them is 14 cm ?",otro,OTRO,1,physics
17061,"jane and ashley take 10 days and 40 days respectively to complete a project when they work on it alone . they thought if they worked on the project together , they would take fewer days to complete it . during the period that they were working together , jane took an eight day leave from work . this led to jane ' s working for four extra days on her own to complete the project . how long did it take to finish the project ?",otro,OTRO,1,physics
30909,"in one hour , a boat goes 15 km / hr along the stream and 9 km / hr against the stream . the speed of the boat in still water ( in km / hr ) is :",otro,OTRO,1,physics
