subject,skill,prompt,id_prompt
science,cause and effect,Create a true-or-false question with a brief explanation for beginner elementary students to develop cause and effect through the solar system. Use a familiar real-life context and add a short hint.,0
science,observation,Create a true-or-false question with a brief explanation for moderate elementary students to develop observation through recycling. Avoid technical vocabulary and include a brief answer key.,1
science,prediction,Create a fill-in-the-blank question for moderate elementary students to develop prediction through the solar system. Use age-appropriate language and explain the answer briefly.,2
science,classification,Create a true-or-false question with a brief explanation for beginner elementary students to develop classification through recycling. Use a familiar real-life context and add a short hint.,3
science,scientific explanation,Create a comparison question for slightly challenging elementary students to develop scientific explanation through materials. Make the instructions direct and easy for a teacher to use.,4
science,prediction,Create a comparison question for moderate elementary students to develop prediction through plants. Use clear vocabulary and include the correct answer.,5
science,cause and effect,Create a fill-in-the-blank question for beginner elementary students to develop cause and effect through weather. Use clear vocabulary and include the correct answer.,6
science,classification,Create a comparison question for easy elementary students to develop classification through materials. Make the expected response possible using text only.,7
science,observation,Create a comparison question for slightly challenging elementary students to develop observation through the solar system. Ask only one main idea and include the correct answer.,8
science,environmental awareness,Create a question that asks the student to explain their reasoning for beginner elementary students to develop environmental awareness through the human body. Keep the question under 50 words and provide the answer.,9
science,classification,Create a question that asks the student to explain their reasoning for easy elementary students to develop classification through recycling. Use a familiar real-life context and add a short hint.,10
science,scientific explanation,Create a short-answer question for moderate elementary students to develop scientific explanation through plants. Use clear vocabulary and include the correct answer.,11
science,prediction,Create a simple scenario-based question for moderate elementary students to develop prediction through plants. Avoid technical vocabulary and include a brief answer key.,12
science,classification,Create a fill-in-the-blank question for easy elementary students to develop classification through weather. Avoid technical vocabulary and include a brief answer key.,13
science,scientific explanation,Create a simple scenario-based question for moderate elementary students to develop scientific explanation through weather. Avoid technical vocabulary and include a brief answer key.,14
science,cause and effect,Create a question that asks the student to explain their reasoning for easy elementary students to develop cause and effect through recycling. Make the expected response possible using text only.,15
science,scientific explanation,Create a two-part question for slightly challenging elementary students to develop scientific explanation through materials. Make the instructions direct and easy for a teacher to use.,16
science,environmental awareness,Create a two-part question for easy elementary students to develop environmental awareness through recycling. Keep the question under 50 words and provide the answer.,17
science,observation,Create a simple scenario-based question for easy elementary students to develop observation through habitats. Use age-appropriate language and explain the answer briefly.,18
science,observation,Create a short-answer question for beginner elementary students to develop observation through light and shadows. Use a familiar real-life context and add a short hint.,19
science,prediction,Create a two-part question for slightly challenging elementary students to develop prediction through habitats. Use clear vocabulary and include the correct answer.,20
science,classification,Create a two-part question for slightly challenging elementary students to develop classification through habitats. Make the instructions direct and easy for a teacher to use.,21
science,scientific explanation,Create a simple scenario-based question for moderate elementary students to develop scientific explanation through light and shadows. Use clear vocabulary and include the correct answer.,22
