,prompt,response_3,tiempo_3,ram_mb_3,gpu_mb_3
0,"Write one simple geometry question about shape properties for a primary school student in the context of a classroom, without using a diagram. Make the situation realistic. Return one question only, written as plain text.","system
What is the perimeter of a rectangle that has a length of 10 cm and a width of 5 cm?",0.7276475429534912,2125.16,3274.0
1,"Write one moderate simple ratio question for a primary school student learning advanced topics in the context of a family picnic, using an equivalent-ratio situation described with words. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","system
At the family picnic, there were 4 sandwiches and 6 cookies. If we want to make sure that each person gets the same amount of food, how many sandwiches should be made if we also want to have 12 cookies?",1.3283252716064453,2125.16,3274.0
2,"Make a single slightly challenging question comparing two groups with a ratio for a primary school student learning advanced topics in the context of a pet shelter, without fractions or decimals. Keep the question concise. Give only the question as plain text. Do not include the solution.","system
Which group has more pets: Group A with 12 dogs and 8 cats, or Group B with 6 dogs and 10 cats?",0.9297900199890137,2125.16,3274.0
3,"Prepare one basic question about the greatest common divisor for an upper elementary student in the context of a fruit shop, using numbers below 30. Use familiar vocabulary. Return one question only, written as plain text.","system
What is the greatest common divisor (GCD) of 24 and 18?",0.5872700214385986,2125.16,3274.0
4,"Write one basic division word problem for an elementary student in the context of a school cafeteria, using a dividend below 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text.","system
At the school cafeteria, there are 45 apples available to be divided equally among 9 students. How many apples does each student get?",0.8500971794128418,2125.16,3274.0
5,"Prepare one slightly challenging question about the greatest common factor for a young learner ready for a challenge in the context of a classroom, with a GCD greater than one. Make the situation realistic. Output only the question in text form, without hints or an answer.","system
What is the greatest common factor (GCF) of 18 and 24, which could be used to simplify fractions like 18/24?",0.9613053798675537,2125.16,3274.0
6,"Create one moderate question about making equal groups for an upper elementary student in the context of a beach visit, using numbers below 50. Keep the question concise. Output only the question in text form, without hints or an answer.","system
How many different ways can you divide 36 sandcastles among 4 friends equally?",0.5890600681304932,2125.16,3274.0
7,"Write a single simple geometry question about shape properties for an elementary student in the context of a bus trip, without using a diagram. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
What is the name of a flat surface that has length but not width?",0.5224025249481201,2125.16,3274.0
8,"Make a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, using numbers up to 50. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","system
At the beach, there were initially 23 seashells. After finding more, they had 47 seashells. How many did they find?",1.0025992393493652,2125.16,3274.0
9,"Prepare one simple question about taking away for an elementary student in the context of a garden, using numbers up to 50. Use one direct question at the end. Return one question only, written as plain text.","system
How many flowers did you pick from the garden today?",0.412644624710083,2125.16,3274.0
10,"Create one slightly challenging missing-number equation for a primary school student learning advanced topics in the context of a birthday party, using multiplication. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","system
What is 5 times 6?",0.33344578742980957,2125.16,3274.0
11,"Make a single easy addition question with three addends for a primary school student in the context of a toy store, using numbers up to 20. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","system
What is the total number of toys if you buy 15 teddy bears, 8 dolls, and 7 blocks?",0.752225399017334,2125.16,3274.0
12,"Create one slightly challenging question about the greatest common factor for an upper elementary student in the context of a music class, using numbers below 30. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation.","system
What is the greatest common factor of 24 and 36 that could be used to divide both numbers evenly in a musical rhythm pattern?",0.855675220489502,2125.16,3274.0
13,"Make one easy logic-based elementary math question for a young learner ready for a challenge in the context of a pet shelter, combining addition and multiplication. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","system
At the animal shelter, there are 3 groups of cats: Group A has 4 cats, Group B has 5 cats, and Group C has 6 cats. If each cat from Group A is adopted, how many cats will be left in total?",1.4934709072113037,2125.16,3274.0
14,"Create one easy question with more than one useful piece of information for a young learner ready for a challenge in the context of a fruit shop, without requiring a drawing. Keep the question concise. Return only the question in plain text, with no answer or explanation.","system
What color is an apple and what type of fruit is it?",0.44628262519836426,2125.16,3274.0
15,"Create one moderate question that uses addition followed by subtraction for an upper elementary student in the context of a beach visit, using numbers up to 50. Keep the question concise. Return one question only, written as plain text.","system
At the beach, Sarah found 23 seashells and 17 starfish. How many items did she find total? Then, if she gave away 8 items, how many does she have left?",1.2016544342041016,2125.16,3274.0
16,"Make one easy question about reading a written clock time for a primary school student in the context of a pet shelter, using whole hours. Keep the question concise. Return one question only, written as plain text.","system
What is 3:00 PM on a written clock?",0.4307231903076172,2125.16,3274.0
17,"Make a single simple two-step addition and subtraction word problem for a student learning basic mathematics in the context of a beach visit, with exactly two operations. Keep the question concise. Give only the question as plain text. Do not include the solution.","system
At the beach, Sarah collected 15 seashells on Monday and 20 more on Tuesday. How many seashells did she collect in total?",0.9622039794921875,2125.16,3274.0
18,"Create one basic question about an equivalent ratio for an upper elementary student in the context of a sports day, using two types of objects. Use whole numbers only. Return one question only, written as plain text.","system
What is the equivalent ratio if there are 3 gold medals and 6 silver medals at a sports day?",0.6885366439819336,2125.16,3274.0
19,"Generate a single slightly challenging short multiplication fact problem for a student learning basic mathematics in the context of a farm, using four equal groups. Avoid unnecessary details. Return one question only, written as plain text.","system
A farmer has 4 equal-sized fields. If each field produces 5 apples, how many apples does the farmer have in total?",0.7927179336547852,2125.16,3274.0
20,"Create a single moderate question about the least common multiple for a young learner ready for a challenge in the context of a beach visit, with an LCM below 60. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","system
What is the least common multiple (LCM) of 12 and 18 that you might encounter while exploring at the beach?",0.8381426334381104,2125.16,3274.0
21,"Write a single easy question comparing two quantities for an elementary student in the context of a science fair, with equal values as one possible result. Keep the question concise. Give only the question as plain text. Do not include the solution.","user
How many seeds does a sunflower typically have?",0.4062073230743408,2125.16,3274.0
22,"Write a single slightly challenging question about equal groups for a student learning basic mathematics in the context of a school cafeteria, using facts from 2 to 5. Make the situation realistic. Use plain text only and provide no solution or explanation.","system
At the school cafeteria, there are 4 equal-sized trays of sandwiches. If each tray contains 6 sandwiches, how many sandwiches are there in total?",0.9858465194702148,2125.16,3274.0
23,"Prepare a single basic question about sides and vertices for a young math learner in the context of a garden, using triangles and quadrilaterals. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","system
What is the difference between a triangle's sides and its vertices?",0.474102258682251,2125.16,3274.0
24,"Generate a single simple greater-than or less-than question for a primary school student in the context of a fruit shop, using numbers up to 20. Use one direct question at the end. Give only the question as plain text. Do not include the solution.","system
Which is more: 15 apples or 18 oranges?",0.500575065612793,2125.16,3274.0
25,"Make one basic question about choosing the correct time for an elementary student in the context of a sports day, using half hours. Use whole numbers only. Use plain text only and provide no solution or explanation.","system
When should an elementary student arrive at the starting line for their 100-meter dash?",0.635845422744751,2125.16,3274.0
26,"Create a single moderate question about taking away for an elementary student in the context of a birthday party, using numbers up to 50. Make all needed information explicit. Use plain text only and provide no solution or explanation.","system
At the birthday party, there were 30 cupcakes on the table. If we take away 12 cupcakes, how many cupcakes will be left?",0.9706621170043945,2125.16,3274.0
27,"Generate one slightly challenging challenging multi-step math word problem for a primary school student learning advanced topics in the context of a school cafeteria, without requiring a drawing. Keep the wording clear and age-appropriate. Use plain text only and provide no solution or explanation.","system
At the school cafeteria, there are 30 students who want to order lunch. If each student orders 2 sandwiches, how many total sandwiches will be ordered? Now, if the cafeteria has enough bread to make exactly 15 extra sandwiches, how many sandwiches will they have left after all students get their lunches?",1.8899621963500977,2125.16,3274.0
