education_level,skill,prompt
early-childhood,counting,Create a multiple-choice question with four options for children ages 4 to 5 to develop counting using a context related to playground objects. Connect the task to a realistic situation.
early-childhood,quantity comparison,Create a short problem for children ages 4 to 5 to develop quantity comparison using a context related to fruit. Connect the task to a realistic situation.
early-childhood,number recognition,Create a conceptual question for children ages 4 to 5 to develop number recognition using a context related to animals. Include the correct answer and a brief solution.
early-childhood,simple patterns,Create a fill-in-the-blank problem for children ages 4 to 5 to develop simple patterns using a context related to animals. Make the answer possible using text and numbers only.
early-childhood,sorting,Create a real-life word problem for children ages 4 to 5 to develop sorting using a context related to fruit. Include the correct answer and a brief solution.
early-childhood,shape recognition,Create an error-analysis question for children ages 4 to 5 to develop shape recognition using a context related to picture cards. Use clear instructions and avoid unnecessary information.
early-childhood,number recognition,Create a short problem for children ages 4 to 5 to develop number recognition using a context related to fruit. Use values appropriate for the educational level.
early-childhood,sorting,Create a multiple-choice question with four options for children ages 4 to 5 to develop sorting using a context related to picture cards. Include the correct answer and a brief solution.
early-childhood,number recognition,Create a question that requires showing the reasoning for children ages 4 to 5 to develop number recognition using a context related to fruit. Ask the student to justify the answer briefly.
early-childhood,number recognition,Create a conceptual question for children ages 4 to 5 to develop number recognition using a context related to animals. Ask the student to justify the answer briefly.
early-childhood,shape recognition,Create a two-step problem for children ages 4 to 5 to develop shape recognition using a context related to songs. Include one hint and the final answer.
early-childhood,sorting,Create a fill-in-the-blank problem for children ages 4 to 5 to develop sorting using a context related to colored blocks. Use clear instructions and avoid unnecessary information.
early-childhood,number recognition,Create a fill-in-the-blank problem for children ages 4 to 5 to develop number recognition using a context related to playground objects. Make the answer possible using text and numbers only.
early-childhood,shape recognition,Create a short problem for children ages 4 to 5 to develop shape recognition using a context related to classroom objects. Include the correct answer and a brief solution.
early-childhood,counting,Create an error-analysis question for children ages 4 to 5 to develop counting using a context related to fruit. Use clear instructions and avoid unnecessary information.
early-childhood,quantity comparison,Create a short problem for children ages 4 to 5 to develop quantity comparison using a context related to playground objects. Make the answer possible using text and numbers only.
early-childhood,sorting,Create a question that requires showing the reasoning for children ages 4 to 5 to develop sorting using a context related to animals. Include one hint and the final answer.
early-childhood,simple patterns,Create an error-analysis question for children ages 4 to 5 to develop simple patterns using a context related to toys. Include one hint and the final answer.
early-childhood,shape recognition,Create a fill-in-the-blank problem for children ages 4 to 5 to develop shape recognition using a context related to songs. Connect the task to a realistic situation.
early-childhood,quantity comparison,Create a question that requires showing the reasoning for children ages 4 to 5 to develop quantity comparison using a context related to playground objects. Ask the student to justify the answer briefly.
early-childhood,number recognition,Create a conceptual question for children ages 4 to 5 to develop number recognition using a context related to colored blocks. Keep the wording concise and include an answer key.
early-childhood,sorting,Create a short problem for children ages 4 to 5 to develop sorting using a context related to toys. Connect the task to a realistic situation.
early-childhood,counting,Create a question that requires showing the reasoning for children ages 4 to 5 to develop counting using a context related to animals. Use clear instructions and avoid unnecessary information.
early-childhood,shape recognition,Create a two-step problem for children ages 4 to 5 to develop shape recognition using a context related to colored blocks. Keep the wording concise and include an answer key.
early-childhood,simple patterns,Create a conceptual question for children ages 4 to 5 to develop simple patterns using a context related to toys. Keep the wording concise and include an answer key.
early-childhood,sorting,Create a short problem for children ages 4 to 5 to develop sorting using a context related to colored blocks. Ask the student to justify the answer briefly.
early-childhood,quantity comparison,Create a real-life word problem for children ages 4 to 5 to develop quantity comparison using a context related to picture cards. Connect the task to a realistic situation.
early-childhood,sorting,Create a fill-in-the-blank problem for children ages 4 to 5 to develop sorting using a context related to colored blocks. Connect the task to a realistic situation.
early-childhood,shape recognition,Create a conceptual question for children ages 4 to 5 to develop shape recognition using a context related to playground objects. Make the answer possible using text and numbers only.
early-childhood,number recognition,Create a conceptual question for children ages 4 to 5 to develop number recognition using a context related to songs. Ask the student to justify the answer briefly.
early-childhood,number recognition,Create a two-step problem for children ages 4 to 5 to develop number recognition using a context related to classroom objects. Use clear instructions and avoid unnecessary information.
early-childhood,quantity comparison,Create a conceptual question for children ages 4 to 5 to develop quantity comparison using a context related to classroom objects. Use clear instructions and avoid unnecessary information.
