skill,prompt
addition-subtraction,"Write a multiple-choice question with four options where students first add and then subtract using cookies. Make it easy. Ask for a written answer, not a drawing."
addition-subtraction,Generate a multiple-choice question with four options about comparing an initial amount and a final amount of garden plants using addition and subtraction. Include the correct answer.
addition-subtraction,Generate a two-step problem about comparing an initial amount and a final amount of flowers using addition and subtraction. Make the numbers easy to calculate mentally.
addition-subtraction,Create a fill-in-the-blank question that asks students to find a missing total after adding and subtracting books. Make the numbers easy to calculate mentally.
addition-subtraction,Write a simple challenge question where students first add and then subtract using birthday candles. Make it very easy. Avoid decimals and negative numbers.
addition-subtraction,Create a real-life classroom problem about stickers that combines addition and subtraction. Make it moderate. Make the numbers easy to calculate mentally.
addition-subtraction,Generate a real-life classroom problem about comparing an initial amount and a final amount of recycling bins using addition and subtraction. Avoid decimals and negative numbers.
addition-subtraction,"Generate a two-step problem about comparing an initial amount and a final amount of fruit baskets using addition and subtraction. Ask for a written answer, not a drawing."
addition-subtraction,Write a short word problem where students first add and then subtract using colored blocks. Make it slightly challenging. Include the correct answer.
addition-subtraction,Write a simple challenge question where students first add and then subtract using marbles. Make it easy. Include the correct answer.
addition-subtraction,Generate a two-step problem about comparing an initial amount and a final amount of recycling bins using addition and subtraction. Make the numbers easy to calculate mentally.
addition-subtraction,Generate a true-or-false question with a brief explanation using two operations: one addition and one subtraction. Use bus passengers. Avoid decimals and negative numbers.
addition-subtraction,"Write a two-step problem where students first add and then subtract using flowers. Make it easy. Ask for a written answer, not a drawing."
addition-subtraction,Generate a fill-in-the-blank question using two operations: one addition and one subtraction. Use garden plants. Make the numbers easy to calculate mentally.
addition-subtraction,Generate a multiple-choice question with four options using two operations: one addition and one subtraction. Use recycling bins. Keep the question under 45 words.
addition-subtraction,Write a multiple-choice question with four options with three quantities related to stickers. Students must decide whether to add or subtract. Use whole numbers only.
addition-subtraction,Create a short word problem that asks students to find a missing total after adding and subtracting notebooks. Avoid decimals and negative numbers.
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using cookies. Make it very easy. Avoid decimals and negative numbers.
addition-subtraction,Create a short word problem that asks students to find a missing total after adding and subtracting birthday candles. Use whole numbers only.
addition-subtraction,Write a multiple-choice question with four options where students first add and then subtract using bus passengers. Make it easy. Include the correct answer.
addition-subtraction,Write a two-step problem where students first add and then subtract using garden plants. Make it very easy. Make the numbers easy to calculate mentally.
addition-subtraction,Create a short word problem that asks students to find a missing total after adding and subtracting bus passengers. Include the correct answer.
addition-subtraction,Create a two-step problem about school supplies that combines addition and subtraction. Make it easy. Use simple vocabulary suitable for elementary students.
addition-subtraction,Create a true-or-false question with a brief explanation that asks students to find a missing total after adding and subtracting birthday candles. Include the correct answer.
addition-subtraction,Create a two-step problem about stickers that combines addition and subtraction. Make it easy. Use whole numbers only.
addition-subtraction,Write a question that asks students to explain their reasoning where students first add and then subtract using notebooks. Make it moderate. Avoid decimals and negative numbers.
addition-subtraction,Create a true-or-false question with a brief explanation about toy cars that combines addition and subtraction. Make it easy. Use whole numbers only.
addition-subtraction,Write a multiple-choice question with four options where students first add and then subtract using school supplies. Make it very easy. Avoid decimals and negative numbers.
addition-subtraction,Write a simple challenge question where students first add and then subtract using coins. Make it very easy. Make the numbers easy to calculate mentally.
addition-subtraction,Write a two-step problem where students first add and then subtract using toy cars. Make it moderate. Use simple vocabulary suitable for elementary students.
addition-subtraction,Generate a multiple-choice question with four options using two operations: one addition and one subtraction. Use garden plants. Use simple vocabulary suitable for elementary students.
addition-subtraction,Generate a multiple-choice question with four options about comparing an initial amount and a final amount of toy cars using addition and subtraction. Use simple vocabulary suitable for elementary students.
addition-subtraction,Create a two-step problem that asks students to find a missing total after adding and subtracting toy cars. Add one short hint.
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using bus passengers. Make it easy. Include the correct answer.
addition-subtraction,Write a two-step problem where students first add and then subtract using coins. Make it moderate. Include the correct answer.
addition-subtraction,Generate a question that asks students to explain their reasoning using two operations: one addition and one subtraction. Use marbles. Add one short hint.
addition-subtraction,Generate a question that asks students to explain their reasoning using two operations: one addition and one subtraction. Use fruit baskets. Keep the question under 45 words.
addition-subtraction,"Write a true-or-false question with a brief explanation where students first add and then subtract using cookies. Make it slightly challenging. Ask for a written answer, not a drawing."
addition-subtraction,Generate a real-life classroom problem about comparing an initial amount and a final amount of toy cars using addition and subtraction. Use simple vocabulary suitable for elementary students.
addition-subtraction,Create a two-step problem about toy cars that combines addition and subtraction. Make it moderate. Add one short hint.
addition-subtraction,Write a fill-in-the-blank question where students first add and then subtract using marbles. Make it moderate. Avoid decimals and negative numbers.
addition-subtraction,"Generate a real-life classroom problem about comparing an initial amount and a final amount of cookies using addition and subtraction. Ask for a written answer, not a drawing."
addition-subtraction,Write a simple challenge question where students first add and then subtract using classroom chairs. Make it moderate. Make the numbers easy to calculate mentally.
addition-subtraction,Create a multiple-choice question with four options about birthday candles that combines addition and subtraction. Make it slightly challenging. Keep the question under 45 words.
addition-subtraction,Write a short word problem where students first add and then subtract using fruit baskets. Make it easy. Use whole numbers only.
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using notebooks. Make it moderate. Use simple vocabulary suitable for elementary students.
addition-subtraction,Write a two-step problem where students first add and then subtract using garden plants. Make it slightly challenging. Add one short hint.
addition-subtraction,Write a true-or-false question with a brief explanation where students first add and then subtract using classroom chairs. Make it easy. Keep the question under 45 words.
addition-subtraction,Create a true-or-false question with a brief explanation that asks students to find a missing total after adding and subtracting garden plants. Include the correct answer.
addition-subtraction,Create a fill-in-the-blank question about cookies that combines addition and subtraction. Make it very easy. Make the numbers easy to calculate mentally.
addition-subtraction,Create a real-life classroom problem about flowers that combines addition and subtraction. Make it very easy. Keep the question under 45 words.
addition-subtraction,Create a real-life classroom problem about water bottles that combines addition and subtraction. Make it easy. Make the numbers easy to calculate mentally.
addition-subtraction,Generate a short word problem using two operations: one addition and one subtraction. Use books. Add one short hint.
