,prompt,response_1,tiempo_1,ram_mb_1,gpu_mb_1
0,"Write one simple geometry question about shape properties for a primary school student in the context of a classroom, without using a diagram. Make the situation realistic. Return one question only, written as plain text.","assistant

What is the name of the shape that has four right angles and four sides of equal length?",0.3759889602661133,2088.21,2686.0
1,"Write one moderate simple ratio question for a primary school student learning advanced topics in the context of a family picnic, using an equivalent-ratio situation described with words. Make all needed information explicit. Return only the question in plain text, with no answer or explanation.","assistant

What is the ratio of the number of sandwiches to the number of drinks at the picnic, if 3 sandwiches were eaten and 2 drinks were consumed?",0.5440709590911865,2088.42,2688.0
2,"Make a single slightly challenging question comparing two groups with a ratio for a primary school student learning advanced topics in the context of a pet shelter, without fractions or decimals. Keep the question concise. Give only the question as plain text. Do not include the solution.","assistant

What is the main difference between the number of dogs and cats that live in the shelter on a typical Monday morning compared to the number of dogs and cats that live in the shelter on a typical Tuesday morning?",0.7104103565216064,2088.48,2688.0
3,"Prepare one basic question about the greatest common divisor for an upper elementary student in the context of a fruit shop, using numbers below 30. Use familiar vocabulary. Return one question only, written as plain text.","assistant

What is the greatest common divisor (GCD) of 12 and 18?",0.3400533199310303,2088.5,2688.0
4,"Write one basic division word problem for an elementary student in the context of a school cafeteria, using a dividend below 100. Keep the wording clear and age-appropriate. Return one question only, written as plain text.","assistant

Here's a division word problem for an elementary student:

""Tom has 48 cookies to package for the school bake sale. He wants to put 6 rows of cookies in each box. How many boxes can Tom fill with the cookies he has?""",0.8401801586151123,2088.55,2688.0
5,"Prepare one slightly challenging question about the greatest common factor for a young learner ready for a challenge in the context of a classroom, with a GCD greater than one. Make the situation realistic. Output only the question in text form, without hints or an answer.","assistant

A group of students are planning a school festival and want to make a cake that can be cut into 8 equal pieces. The total number of slices they want to cut the cake into is 24. If they want to make the slices as uniform as possible, how many slices can they cut the cake into?",1.0482773780822754,2088.61,2688.0
6,"Create one moderate question about making equal groups for an upper elementary student in the context of a beach visit, using numbers below 50. Keep the question concise. Output only the question in text form, without hints or an answer.","assistant

How many groups of 5 can be made from 25 students for a beach trip?",0.35880422592163086,2088.63,2688.0
7,"Write a single simple geometry question about shape properties for an elementary student in the context of a bus trip, without using a diagram. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

What is the name of the shape that has four right angles and four sides of equal length?",0.36952757835388184,2088.66,2688.0
8,"Make a single basic mixed-operation problem with addition and subtraction for an elementary student in the context of a beach visit, using numbers up to 50. Avoid unnecessary details. Use plain text only and provide no solution or explanation.","assistant

Problem:
Tommy has 25 seashells in his bucket. He finds 15 more shells on the beach. How many seashells does Tommy have now?

A) 40
B) 35
C) 30
D) 45",0.8923816680908203,2088.69,2688.0
9,"Prepare one simple question about taking away for an elementary student in the context of a garden, using numbers up to 50. Use one direct question at the end. Return one question only, written as plain text.","assistant

Here's a simple question about taking away for an elementary student in the context of a garden:

What is the number of flowers that can be grown in a garden if you take away 5 rows of 8 flowers each?

Answer: 40",0.8401937484741211,2088.7,2688.0
10,"Create one slightly challenging missing-number equation for a primary school student learning advanced topics in the context of a birthday party, using multiplication. Keep the wording clear and age-appropriate. Give only the question as plain text. Do not include the solution.","assistant

What number do you need to multiply by 4 to get 48?",0.3079514503479004,2088.71,2688.0
11,"Make a single easy addition question with three addends for a primary school student in the context of a toy store, using numbers up to 20. Avoid unnecessary details. Return only the question in plain text, with no answer or explanation.","assistant

What is 5 + 8 + 12?",0.2520473003387451,2088.88,2688.0
12,"Create one slightly challenging question about the greatest common factor for an upper elementary student in the context of a music class, using numbers below 30. Keep the wording clear and age-appropriate. Return only the question in plain text, with no answer or explanation.","assistant

What is the greatest common factor of 12, 18, 24, and 30?",0.3980424404144287,2088.9,2688.0
13,"Make one easy logic-based elementary math question for a young learner ready for a challenge in the context of a pet shelter, combining addition and multiplication. Make the situation realistic. Return only the question in plain text, with no answer or explanation.","assistant

Maria has 5 boxes of cat food that she needs to distribute among 3 different rooms in the shelter. If each room needs 2 boxes of food, how many boxes of food will Maria have left after distributing them to the 3 rooms?",0.8390798568725586,2088.91,2688.0
14,"Create one easy question with more than one useful piece of information for a young learner ready for a challenge in the context of a fruit shop, without requiring a drawing. Keep the question concise. Return only the question in plain text, with no answer or explanation.","assistant

What is the main difference between a lemon and an orange?",0.25571322441101074,2088.92,2688.0
15,"Create one moderate question that uses addition followed by subtraction for an upper elementary student in the context of a beach visit, using numbers up to 50. Keep the question concise. Return one question only, written as plain text.","assistant

What is 25 + 15 - 7?",0.24414300918579102,2088.92,2688.0
16,"Make one easy question about reading a written clock time for a primary school student in the context of a pet shelter, using whole hours. Keep the question concise. Return one question only, written as plain text.","assistant

What is the time on the clock when the shelter is open from 9am to 5pm?",0.39647674560546875,2088.92,2688.0
17,"Make a single simple two-step addition and subtraction word problem for a student learning basic mathematics in the context of a beach visit, with exactly two operations. Keep the question concise. Give only the question as plain text. Do not include the solution.","assistant

Tommy has 15 seashells in his bucket. He finds 7 more shells on the beach. How many seashells does Tommy have now?",0.5739054679870605,2088.92,2688.0
18,"Create one basic question about an equivalent ratio for an upper elementary student in the context of a sports day, using two types of objects. Use whole numbers only. Return one question only, written as plain text.","assistant

What is the ratio of the number of points scored by the basketball team to the number of points scored by the soccer team in a game?",0.5148978233337402,2088.92,2688.0
19,"Generate a single slightly challenging short multiplication fact problem for a student learning basic mathematics in the context of a farm, using four equal groups. Avoid unnecessary details. Return one question only, written as plain text.","assistant

A farmer has 4 baskets of wheat, and each basket contains 6 sacks of wheat. How many sacks of wheat does the farmer have in total?",0.5476570129394531,2088.92,2688.0
