,text,labels
0,"Seven red apples and two green apples are in the basket.
How many apples are in the basket?",addition-subtraction
1,"Ellen has six more balls than Marin. Marin has nine balls.
How many balls does Ellen have?",addition-subtraction
2,"Janet has nine oranges and Sharon has seven oranges.
How many oranges do Janet and Sharon have together? ",addition-subtraction
3,"Allan brought two balloons and Jake brought four balloons to the park.
How many balloons did Allan and Jake have in the park?",addition-subtraction
4,"Adam has five more apples than Jackie. Jackie has nine apples.
How many apples does Adam have?",addition-subtraction
5,"Brian has four more plums than Paul. Paul has seven plums.
How many plums does Brian have?",addition-subtraction
6,"Sandra took six cups of coffee and Marcie took two cups of coffee.
How many cups of coffee did Sandra and Marcie take in total?",addition-subtraction
7,"17 plums were in the basket. More plums were added to the basket. Now there are 21 plums.
How many plums were added to the basket?",subtraction
8,"14 red plums and four green plums are in the basket.
How many plums are in the basket? ",addition-subtraction
9,"Marin has nine apples and Donald has two apples.
How many apples do Marin and Donald have together?",addition-subtraction
10,"46 apples were in the basket. 22 are red and the rest are green.
How many apples are green?",subtraction
11,"Five red peaches and 14 green peaches are in the basket.
How many peaches are in the basket? ",addition-subtraction
12,"20 peaches are in the basket. 25 more peaches are put in the basket.
How many peaches are in the basket now?",addition-subtraction
13,"Two marbles are in the basket. Two marbles are taken out of the basket.
How many marbles are in the basket now?",subtraction
14,"Eight balls were in the basket. Some of the balls were removed from the basket. Now there are six balls.
How many balls were removed from the basket? ",subtraction
15,"Some oranges were in the basket. Five oranges were taken from the basket. Now there are three oranges.
How many oranges were in the basket before some of the oranges were taken?",addition-subtraction
16,"Jake has six fewer peaches than Steven. Steven has 13 peaches.
How many peaches does Jake have? ",subtraction
17,"David has zero fewer apples than Marin. Marin has three apples.
How many apples does David have?",subtraction
18,"Jake has 34 fewer balls than Audrey. Audrey has 41 balls.
How many balls does Jake have?",subtraction
19,"Brian has zero fewer oranges than Marcie. Marcie has 12 oranges.
How many oranges does Brian have? ",subtraction
20,"2 birds were sitting on the fence. 4 more birds came to join them.
How many birds are sitting on the fence?",addition-subtraction
21,"You have 7 cookies and you ate 2 of them.
How many cookies do you have left?",subtraction
22,"You have collected 7 crickets.
How many more crickets do you need to collect to have 11 crickets?",subtraction
23,"4 birds are sitting on a branch. 1 flies away.
How many birds are left on the branch?",subtraction
24,"3 raccoons are playing in the woods. 2 go home to eat dinner.
How many raccoons are left in the woods?",subtraction
25,"1 lonely pigeons was eating breadcrumbs. Another pigeon came to eat breadcrumbs, too.
How many pigeons are eating breadcrumbs now?",addition-subtraction
26,"3 owls were sitting on the fence. 2 more owls joined them.
How many owls are on the fence now?",addition-subtraction
27,"2 beavers were working on their home. 1 went for a swim.
How many beavers are still working on their home?",subtraction
28,"2 toucans are sitting on a tree limb. 1 more toucan joins them.
How many toucans in all?",addition-subtraction
30,"Mrs. Hilt has two pennies, two dimes, and two nickels. Jacob has four pennies, one nickel, and one dime.
How much more?",subtraction
31,"Mrs. Hilt found a quarter, 1 dime, and 2 nickels.
How much money did she find?",addition-subtraction
