"Category folder (optional)","Category code","Question title","Question text","Question Type","Tolerance (for Numerical Questions)","Question answer value 1 (for all questions)","Question matching value (for Matching Questions) 1","Percentage Correct (for Multiple Choice questions) 1",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">my_var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/qdbutq.png"" > ","Numerical Question","2","23",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">my_var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/dsccdn.png"" > ","Numerical Question","2","39",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">c_var</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/umiqab.png"" > ","Numerical Question","2","1",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">c_var</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/aolblv.png"" > ","Numerical Question","2","64",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/efkatb.png"" > ","Numerical Question","2","27",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">my_var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/mjicjj.png"" > ","Numerical Question","2","39",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">c_var</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/okkdha.png"" > ","Numerical Question","2","26",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/tqjihd.png"" > ","Numerical Question","2","10",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/orqshc.png"" > ","Numerical Question","2","30",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/ytawso.png"" > ","Numerical Question","2","11",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">y</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/alssnp.png"" > ","Numerical Question","2","37",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">y</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/nalxby.png"" > ","Numerical Question","2","-2",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/ookkjh.png"" > ","Numerical Question","2","16",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">c_var</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/lszobp.png"" > ","Numerical Question","2","19",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">my_var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/qkofki.png"" > ","Numerical Question","2","-8",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/jwilgu.png"" > ","Numerical Question","2","8",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/jltxqy.png"" > ","Numerical Question","2","34",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/cyknxi.png"" > ","Numerical Question","2","49",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/yuzncq.png"" > ","Numerical Question","2","12",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/otbufn.png"" > ","Numerical Question","2","33",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/zvtsgb.png"" > ","Numerical Question","2","34",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/ucwnzt.png"" > ","Numerical Question","2","10",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/vrdjrn.png"" > ","Numerical Question","2","32",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/hgmzky.png"" > ","Numerical Question","2","13",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/hynwjw.png"" > ","Numerical Question","2","43",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">var3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/efppey.png"" > ","Numerical Question","2","32",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the  main function  variable <b style=""font-family:'Calibri'"">c</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/uzrmch.png"" > ","Numerical Question","2","18",""," ",
"//Programming/C programming quizzes/functions","functions_c","Control Structures","What is the value of the global variable <b style=""font-family:'Calibri'"">variable_3</b> after the following code is executed?<p><img src=""https://purl.org/olq/quiz_data_files/functions_c_df/qinwzv.png"" > ","Numerical Question","2","31",""," ",
