subject,skill,prompt
science,cause and effect,Create a true-or-false question with a brief explanation for beginner elementary students to develop cause and effect through the solar system. Use a familiar real-life context and add a short hint.
science,observation,Create a true-or-false question with a brief explanation for moderate elementary students to develop observation through recycling. Avoid technical vocabulary and include a brief answer key.
science,prediction,Create a fill-in-the-blank question for moderate elementary students to develop prediction through the solar system. Use age-appropriate language and explain the answer briefly.
science,classification,Create a true-or-false question with a brief explanation for beginner elementary students to develop classification through recycling. Use a familiar real-life context and add a short hint.
science,scientific explanation,Create a comparison question for slightly challenging elementary students to develop scientific explanation through materials. Make the instructions direct and easy for a teacher to use.
science,prediction,Create a comparison question for moderate elementary students to develop prediction through plants. Use clear vocabulary and include the correct answer.
science,cause and effect,Create a fill-in-the-blank question for beginner elementary students to develop cause and effect through weather. Use clear vocabulary and include the correct answer.
science,classification,Create a comparison question for easy elementary students to develop classification through materials. Make the expected response possible using text only.
science,observation,Create a comparison question for slightly challenging elementary students to develop observation through the solar system. Ask only one main idea and include the correct answer.
science,environmental awareness,Create a question that asks the student to explain their reasoning for beginner elementary students to develop environmental awareness through the human body. Keep the question under 50 words and provide the answer.
science,classification,Create a question that asks the student to explain their reasoning for easy elementary students to develop classification through recycling. Use a familiar real-life context and add a short hint.
science,scientific explanation,Create a short-answer question for moderate elementary students to develop scientific explanation through plants. Use clear vocabulary and include the correct answer.
science,prediction,Create a simple scenario-based question for moderate elementary students to develop prediction through plants. Avoid technical vocabulary and include a brief answer key.
science,classification,Create a fill-in-the-blank question for easy elementary students to develop classification through weather. Avoid technical vocabulary and include a brief answer key.
science,scientific explanation,Create a simple scenario-based question for moderate elementary students to develop scientific explanation through weather. Avoid technical vocabulary and include a brief answer key.
science,cause and effect,Create a question that asks the student to explain their reasoning for easy elementary students to develop cause and effect through recycling. Make the expected response possible using text only.
science,scientific explanation,Create a two-part question for slightly challenging elementary students to develop scientific explanation through materials. Make the instructions direct and easy for a teacher to use.
science,environmental awareness,Create a two-part question for easy elementary students to develop environmental awareness through recycling. Keep the question under 50 words and provide the answer.
science,observation,Create a simple scenario-based question for easy elementary students to develop observation through habitats. Use age-appropriate language and explain the answer briefly.
science,observation,Create a short-answer question for beginner elementary students to develop observation through light and shadows. Use a familiar real-life context and add a short hint.
science,prediction,Create a two-part question for slightly challenging elementary students to develop prediction through habitats. Use clear vocabulary and include the correct answer.
science,classification,Create a two-part question for slightly challenging elementary students to develop classification through habitats. Make the instructions direct and easy for a teacher to use.
science,scientific explanation,Create a simple scenario-based question for moderate elementary students to develop scientific explanation through light and shadows. Use clear vocabulary and include the correct answer.
science,scientific explanation,Create a true-or-false question with a brief explanation for moderate elementary students to develop scientific explanation through recycling. Make the instructions direct and easy for a teacher to use.
science,scientific explanation,Create a two-part question for easy elementary students to develop scientific explanation through the solar system. Use a familiar real-life context and add a short hint.
science,scientific explanation,Create a comparison question for easy elementary students to develop scientific explanation through materials. Use a familiar real-life context and add a short hint.
science,classification,Create a two-part question for moderate elementary students to develop classification through light and shadows. Use age-appropriate language and explain the answer briefly.
science,scientific explanation,Create a question that asks the student to explain their reasoning for easy elementary students to develop scientific explanation through animals. Make the instructions direct and easy for a teacher to use.
science,cause and effect,Create a multiple-choice question with four options for moderate elementary students to develop cause and effect through recycling. Make the instructions direct and easy for a teacher to use.
science,cause and effect,Create a multiple-choice question with four options for easy elementary students to develop cause and effect through water. Avoid technical vocabulary and include a brief answer key.
science,cause and effect,Create a simple scenario-based question for moderate elementary students to develop cause and effect through the solar system. Make the instructions direct and easy for a teacher to use.
science,classification,Create a question that asks the student to explain their reasoning for moderate elementary students to develop classification through materials. Use clear vocabulary and include the correct answer.
science,cause and effect,Create a multiple-choice question with four options for easy elementary students to develop cause and effect through animals. Avoid technical vocabulary and include a brief answer key.
science,observation,Create a question that asks the student to explain their reasoning for moderate elementary students to develop observation through habitats. Make the instructions direct and easy for a teacher to use.
science,prediction,Create a simple scenario-based question for easy elementary students to develop prediction through light and shadows. Make the expected response possible using text only.
science,observation,Create a two-part question for easy elementary students to develop observation through the human body. Ask only one main idea and include the correct answer.
science,scientific explanation,Create a short-answer question for moderate elementary students to develop scientific explanation through weather. Ask only one main idea and include the correct answer.
science,scientific explanation,Create a true-or-false question with a brief explanation for easy elementary students to develop scientific explanation through plants. Use age-appropriate language and explain the answer briefly.
science,prediction,Create a true-or-false question with a brief explanation for slightly challenging elementary students to develop prediction through the human body. Use a familiar real-life context and add a short hint.
science,prediction,Create a short-answer question for easy elementary students to develop prediction through plants. Ask only one main idea and include the correct answer.
science,prediction,Create a simple scenario-based question for slightly challenging elementary students to develop prediction through plants. Avoid technical vocabulary and include a brief answer key.
science,classification,Create a simple scenario-based question for slightly challenging elementary students to develop classification through habitats. Avoid technical vocabulary and include a brief answer key.
science,scientific explanation,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop scientific explanation through materials. Avoid technical vocabulary and include a brief answer key.
science,observation,Create a fill-in-the-blank question for easy elementary students to develop observation through plants. Use age-appropriate language and explain the answer briefly.
science,cause and effect,Create a two-part question for moderate elementary students to develop cause and effect through recycling. Use clear vocabulary and include the correct answer.
science,environmental awareness,Create a comparison question for slightly challenging elementary students to develop environmental awareness through recycling. Use age-appropriate language and explain the answer briefly.
science,classification,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop classification through light and shadows. Use a familiar real-life context and add a short hint.
science,classification,Create a short-answer question for easy elementary students to develop classification through water. Make the instructions direct and easy for a teacher to use.
science,observation,Create a comparison question for beginner elementary students to develop observation through plants. Make the instructions direct and easy for a teacher to use.
science,observation,Create a short-answer question for moderate elementary students to develop observation through water. Make the expected response possible using text only.
science,classification,Create a true-or-false question with a brief explanation for beginner elementary students to develop classification through weather. Make the instructions direct and easy for a teacher to use.
science,prediction,Create a short-answer question for beginner elementary students to develop prediction through the solar system. Avoid technical vocabulary and include a brief answer key.
science,observation,Create a short-answer question for easy elementary students to develop observation through habitats. Ask only one main idea and include the correct answer.
science,prediction,Create a question that asks the student to explain their reasoning for slightly challenging elementary students to develop prediction through water. Make the expected response possible using text only.
